Date,Opponent,Score,Opponent Score,Result,OT,Playtime,Field Goals Made,Field Goals Attempted,3 Points Made,3 Points Attempted,Free Throws Made,Free Throws Attempted,Rebounds,Assists,Blocks,Steals,Fouls,Turnovers,Total Points
12/31,Atlanta Hawks,102,126,L,F,33,10,18,3,8,7,8,5,2,2,1,0,2,30
12/29,Chicago Bulls,136,101,W,F,32,9,13,2,5,3,4,2,4,1,1,0,0,23
12/27,Brooklyn Nets,107,123,L,F,35,10,22,2,7,6,9,7,2,0,1,1,3,28
12/25,Denver Nuggets,138,142,L,T,42,14,25,2,7,6,9,6,3,0,3,1,6,44
12/23,New York Nicks,115,104,W,F,37,15,27,4,10,4,6,2,2,1,4,2,1,38
12/21,Milwaukee Bucks,103,100,W,F,37,7,24,2,11,8,12,4,6,1,0,1,1,24
12/19,Oklahoma City Thunders,112,107,W,F,41,9,20,3,6,5,6,12,3,2,3,2,3,26
12/8,Pheonix Suns,105,108,L,F,38,15,21,3,7,7,9,9,2,0,1,2,1,40
12/6,Los Angeles Clippers,109,106,W,F,37,3,11,0,1,9,9,6,4,2,1,1,5,15
12/4,New Orleans Pelicans,125,116,W,F,31,3,6,2,3,3,3,6,4,3,1,4,8,11
12/2,New Orleans Pelicans,149,142,W,T,47,16,30,6,13,6,8,5,4,1,0,4,3,44
11/30,San Antonio Spurs,125,112,W,F,36,13,18,4,6,2,2,3,6,0,0,0,7,32
11/29,Boston Celtics,119,115,W,F,37,12,24,5,11,10,11,2,5,1,0,3,0,39
11/26,Oklahoma City Thunders,105,113,L,F,40,9,19,5,10,8,12,8,5,0,0,4,3,31
11/24,Sacramento Kings,112,117,L,F,40,16,29,5,11,6,8,7,4,1,3,1,3,43
11/21,Pheonix Suns,113,114,L,F,40,14,24,5,11,8,12,5,4,1,4,4,5,41
11/19,Washington Wizards,120,109,W,F,36,6,20,1,8,5,5,2,2,1,2,2,1,18
11/17,Dallas Maverics,120,96,W,F,29,5,14,1,7,2,2,4,3,0,2,2,1,18
11/15,Denver Nuggets,112,123,L,F,38,8,23,0,8,10,12,8,6,2,3,2,3,26
11/14,Sacramento Kings,124,110,W,F,36,9,20,1,7,11,12,4,4,0,2,2,3,30
11/10,Utah Jazz,120,113,W,F,38,13,25,5,9,4,4,6,6,1,0,3,1,35
11/9,Sacramento Kings,144,117,W,F,30,7,16,5,11,7,8,4,5,0,2,2,2,26
11/7,Utah Jazz,137,97,W,F,26,12,21,7,12,6,7,5,1,1,1,2,4,37
11/5,New York Nicks,114,137,L,F,29,13,25,5,9,4,4,6,6,1,0,3,1,35
10/26,Indiana Pacers,114,110,W,F,3,2,5,1,3,0,0,1,0,0,0,0,0,5
10/24,Los Angeles Lakers,128,110,L,F,35,11,19,3,6,6,9,4,5,1,0,0,2,31
10/22,Portland Trailblazers,118,114,W,F,39,14,28,5,10,8,8,7,1,1,0,4,4,41
